cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
44000,75,80,weekly,20
52000,75,80,twice-weekly,20
0,75,80,none,40
33000,75,80,weekly,40
39000,75,80,twice-weekly,40
0,75,80,none,60
29000,75,80,weekly,60
34000,75,80,twice-weekly,60
0,75,80,none,80
32000,75,80,weekly,80
32000,75,80,twice-weekly,80
0,75,80,none,100
30000,75,80,weekly,100
32000,75,80,twice-weekly,100
0,100,80,none,5
201000,100,80,weekly,5
265000,100,80,twice-weekly,5
0,100,80,none,20
71000,100,80,weekly,20
85000,100,80,twice-weekly,20
0,100,80,none,40
54000,100,80,weekly,40
65000,100,80,twice-weekly,40
0,100,80,none,60
48000,100,80,weekly,60
55000,100,80,twice-weekly,60
0,100,80,none,80
52000,100,80,weekly,80
53000,100,80,twice-weekly,80
0,100,80,none,100
50000,100,80,weekly,100
52000,100,80,twice-weekly,100
0,0,100,none,5
104000,0,100,weekly,5
154000,0,100,twice-weekly,5
0,0,100,none,20
33000,0,100,weekly,20
47000,0,100,twice-weekly,20
0,0,100,none,40
21000,0,100,weekly,40
32000,0,100,twice-weekly,40
0,0,100,none,60
20000,0,100,weekly,60
24000,0,100,twice-weekly,60
0,0,100,none,80
18000,0,100,weekly,80
21000,0,100,twice-weekly,80
0,0,100,none,100
17000,0,100,weekly,100
21000,0,100,twice-weekly,100
0,25,100,none,5
126000,25,100,weekly,5
187000,25,100,twice-weekly,5
0,25,100,none,20
40000,25,100,weekly,20
57000,25,100,twice-weekly,20
0,25,100,none,40
25000,25,100,weekly,40
38000,25,100,twice-weekly,40
0,25,100,none,60
24000,25,100,weekly,60
29000,25,100,twice-weekly,60
0,25,100,none,80
22000,25,100,weekly,80
25000,25,100,twice-weekly,80
0,25,100,none,100
20000,25,100,weekly,100
25000,25,100,twice-weekly,100
0,50,100,none,5
159000,50,100,weekly,5
237000,50,100,twice-weekly,5
0,50,100,none,20
50000,50,100,weekly,20
72000,50,100,twice-weekly,20
0,50,100,none,40
31000,50,100,weekly,40
49000,50,100,twice-weekly,40
0,50,100,none,60
31000,50,100,weekly,60
36000,50,100,twice-weekly,60
0,50,100,none,80
27000,50,100,weekly,80
32000,50,100,twice-weekly,80
0,50,100,none,100
26000,50,100,weekly,100
32000,50,100,twice-weekly,100
0,75,100,none,5
217000,75,100,weekly,5
323000,75,100,twice-weekly,5
0,75,100,none,20
69000,75,100,weekly,20
98000,75,100,twice-weekly,20
0,75,100,none,40
43000,75,100,weekly,40
66000,75,100,twice-weekly,40
0,75,100,none,60
42000,75,100,weekly,60
49000,75,100,twice-weekly,60
0,75,100,none,80
37000,75,100,weekly,80
43000,75,100,twice-weekly,80
0,75,100,none,100
35000,75,100,weekly,100
43000,75,100,twice-weekly,100
0,100,100,none,5
356000,100,100,weekly,5
530000,100,100,twice-weekly,5
0,100,100,none,20
113000,100,100,weekly,20
161000,100,100,twice-weekly,20
0,100,100,none,40
70000,100,100,weekly,40
109000,100,100,twice-weekly,40
0,100,100,none,60
69000,100,100,weekly,60
81000,100,100,twice-weekly,60
0,100,100,none,80
61000,100,100,weekly,80
71000,100,100,twice-weekly,80
0,100,100,none,100
57000,100,100,weekly,100
71000,100,100,twice-weekly,100
